pairing_id,covered_legs,total_cost,duty_itineraries
duty_seed_395,"[3504619286, 3504619287]",277.5,['HAM ➔ BUD ➔ HAM']
duty_seed_396,"[3504638568, 3504638569]",277.5,['HAM ➔ VRN ➔ HAM']
duty_seed_402,"[3504676772, 3504676191]",277.5,['CGN ➔ BER ➔ CGN']
duty_seed_403,"[3504676349, 3504676350]",277.5,['STR ➔ LHR ➔ STR']
duty_seed_405,"[3505309958, 3505309959]",277.5,['CGN ➔ NCE ➔ CGN']
duty_seed_406,"[3505310036, 3505310037]",277.5,['STR ➔ LHR ➔ STR']
duty_seed_407,[3504619367],280.0,['LHR ➔ DUS']
duty_seed_408,[3504619369],280.0,['LHR ➔ DUS']
duty_seed_411,[3504619347],280.0,['DUS ➔ CPH']
duty_seed_412,[3504619207],280.0,['HAM ➔ MUC']
duty_seed_414,[3504619348],280.0,['CPH ➔ DUS']
duty_seed_419,[3504638790],280.0,['DUS ➔ GVA']
duty_seed_420,[3504638689],280.0,['DUS ➔ CPH']
duty_seed_421,[3504638487],280.0,['MUC ➔ HAM']
duty_seed_422,[3504638791],280.0,['GVA ➔ DUS']
duty_seed_423,[3504638711],280.0,['LYS ➔ DUS']
duty_seed_424,[3504638690],280.0,['CPH ➔ DUS']
duty_seed_425,[3504638723],280.0,['LHR ➔ DUS']
duty_seed_430,[3504638691],280.0,['DUS ➔ CPH']
duty_seed_431,[3504638490],280.0,['HAM ➔ MUC']
duty_seed_433,[3504638692],280.0,['CPH ➔ DUS']
duty_seed_436,[3504658144],280.0,['DUS ➔ CPH']
duty_seed_437,[3504657939],280.0,['MUC ➔ HAM']
duty_seed_438,[3504658143],280.0,['CPH ➔ DUS']
duty_seed_439,[3504658170],280.0,['LHR ➔ DUS']
duty_seed_446,[3504657952],280.0,['HAM ➔ MUC']
duty_seed_447,[3504658145],280.0,['DUS ➔ CPH']
duty_seed_449,[3504657962],280.0,['MUC ➔ HAM']
duty_seed_450,[3504658146],280.0,['CPH ➔ DUS']
duty_seed_452,[3504676667],280.0,['MUC ➔ HAM']
duty_seed_454,[3504676859],280.0,['LHR ➔ DUS']
duty_seed_460,[3504676927],280.0,['DUS ➔ GVA']
duty_seed_461,[3504676830],280.0,['DUS ➔ CPH']
duty_seed_463,[3504676849],280.0,['LYS ➔ DUS']
duty_seed_465,[3504676928],280.0,['GVA ➔ DUS']
duty_seed_466,[3504676831],280.0,['CPH ➔ DUS']
duty_seed_471,[3505309505],280.0,['MUC ➔ HAM']
duty_seed_472,[3505309644],280.0,['LHR ➔ DUS']
duty_seed_476,[3505309507],280.0,['MUC ➔ HAM']
duty_seed_477,"[3505309406, 3505309407]",280.0,['STR ➔ FCO ➔ STR']
duty_seed_479,[3505309616],280.0,['DUS ➔ CPH']
duty_seed_481,[3505309617],280.0,['CPH ➔ DUS']
duty_seed_483,[3505310319],280.0,['DUS ➔ CPH']
duty_seed_484,[3505310212],280.0,['MUC ➔ HAM']
duty_seed_485,[3505310320],280.0,['CPH ➔ DUS']
duty_seed_486,[3505310349],280.0,['LHR ➔ DUS']
duty_seed_490,[3505310213],280.0,['MUC ➔ HAM']
duty_seed_491,[3505309952],280.0,['KLU ➔ CGN']
duty_seed_493,[3505310322],280.0,['DUS ➔ CPH']
duty_seed_494,[3505310102],280.0,['STR ➔ ZAG']
duty_seed_496,[3505310321],280.0,['CPH ➔ DUS']
duty_seed_499,[3505310802],280.0,['STR ➔ GWT']
duty_seed_500,[3505311091],280.0,['LHR ➔ DUS']
duty_seed_502,"[3505310721, 3505310722]",280.0,['CGN ➔ NCE ➔ CGN']
duty_seed_505,"[3504676333, 3504676336]",282.5,['STR ➔ BER ➔ STR']
duty_seed_506,"[3505311082, 3505311083]",282.5,['DUS ➔ DUB ➔ DUS']
duty_seed_507,[3504619366],285.0,['DUS ➔ LHR']
